Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 111.0.0.0,,,2023-03-22 18:45:00,2023-03-22 18:45:39,39.119s,PASSED
,,,,,,,
Test Cases/test_Login/Login using standard user,Chrome 111.0.0.0,,,2023-03-22 18:45:01,2023-03-22 18:45:11,10.748s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-22 18:45:01,2023-03-22 18:45:05,3.435s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-22 18:45:05,2023-03-22 18:45:05,0.171s,PASSED
navigateToUrl(Website),Chrome 111.0.0.0,,,2023-03-22 18:45:05,2023-03-22 18:45:06,0.929s,PASSED
"setText(findTestObject(""Login_pages/input_userName""), Standard_user)",Chrome 111.0.0.0,,,2023-03-22 18:45:06,2023-03-22 18:45:07,0.890s,PASSED
"setText(findTestObject(""Login_pages/input_userPassword""), Password)",Chrome 111.0.0.0,,,2023-03-22 18:45:07,2023-03-22 18:45:08,0.807s,PASSED
"click(findTestObject(""Login_pages/loginButton""))",Chrome 111.0.0.0,,,2023-03-22 18:45:08,2023-03-22 18:45:08,0.566s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-22 18:45:08,2023-03-22 18:45:10,2.085s,PASSED
"takeScreenshot(""standard_user.png"")",Chrome 111.0.0.0,,,2023-03-22 18:45:10,2023-03-22 18:45:11,0.500s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-22 18:45:11,2023-03-22 18:45:11,0.724s,PASSED
,,,,,,,
Test Cases/test_Login/Login using locked user,Chrome 111.0.0.0,,,2023-03-22 18:45:11,2023-03-22 18:45:20,8.312s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-22 18:45:12,2023-03-22 18:45:13,1.333s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-22 18:45:13,2023-03-22 18:45:13,0.146s,PASSED
